destination,origin,count
Colombia,Haití,14
Colombia,Ucrania,14
Colombia,Indonesia,13
Colombia,Argelia,12
Colombia,Vietnam,12
Colombia,Guyana,11
Colombia,Finlandia,10
Colombia,Luxemburgo,10
Colombia,Costa de Marfil,9
Colombia,Irán,9
Colombia,Marruecos,9
Colombia,Islandia,8
Colombia,Nigeria,8
Colombia,Kazajistán,6
Colombia,Omán,6
Colombia,Surinam,6
Colombia,Bermudas/Territorio Británico de Ultramar,5
Colombia,Kenia,5
Colombia,Taiwán,5
Colombia,Albania,4
Colombia,Bahréin,4
Colombia,Bulgaria,4
Colombia,Filipinas,4
Colombia,Guinea Ecuatorial,4
Colombia,Lituania,4
Colombia,Rumania,4
Colombia,Serbia,4
Colombia,Angola,3
Colombia,Bosnia y Herzegovina,3
Colombia,Islas Caimán/Territorio Británico de Ultramar,3
Colombia,Eslovenia,3
Colombia,Georgia,3
Colombia,Iraq,3
Colombia,Kuwait,3
Colombia,Malasia,3
Colombia,Mónaco,3
Colombia,Palestina,3
Colombia,San  Vicente y las Granadinas,3
Colombia,Afganistán,2
Colombia,Camerún,2
Colombia,Chipre,2
Colombia,Gibraltar/Territorio Británico de Ultramar,2
Colombia,Guadalupe/Territorio Francés,2
Colombia,Guayana Francesa/Departamento de Ultramar Francés,2
Colombia,Polinesia Francesa/Colectividad de Ultramar Francesa,2
Colombia,República Democrática Popular de Corea,2
Colombia,Sierra Leona,2
Colombia,Uzbekistán,2
Colombia,Islas Vírgenes Estadounidenses/Territorio de Estados Unidos,2
Colombia,Antigua y Barbuda,1
Colombia,República de Armenia,1
Colombia,Azerbaiyán,1
Colombia,Bangladesh,1
Colombia,República de Belarús,1
Colombia,Brunei Darussalam,1
Colombia,Camboya,1
Colombia,Eslovaquia,1
Colombia,Etiopia,1
Colombia,Guinea,1
Colombia,Isla de Man,1
Colombia,Letonia,1
Colombia,Maldivas,1
Colombia,Islas Marshall,1
Colombia,Mauricio,1
Colombia,Montenegro,1
Colombia,Nauru,1
Colombia,República CentroÁfricana,1
Colombia,Rwanda,1
Colombia,Santa Lucia,1
Colombia,Sudán,1
Colombia,República de Tayikistán,1
Colombia,Uganda,1
